2026-06-08 14:24:43 - navigation_interface - INFO - Waiting for navigation planning server connection...
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation planning client connected successfully
2026-06-08 14:24:43 - navigation_interface - INFO - Create Evaluate goal availability sub Data reader success
2026-06-08 14:24:43 - navigation_interface - INFO - Create Status sub Data reader success
2026-06-08 14:24:43 - navigation_interface - INFO - Create Pose sub Data reader success
2026-06-08 14:24:43 - navigation_interface - INFO - NavigationService object created successfully!
2026-06-08 14:24:43 - navigation_interface - INFO - target_pose: [3.910509705543518, -0.3748614490032196, 0.0, 0.0, -0.06110484803730875, 0.9980884966601643, 0.0]
2026-06-08 14:24:43 - navigation_interface - INFO - Sending navigation request (attempt 1/3)...
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation request sent successfully
2026-06-08 14:24:43 - navigation_interface - INFO - [TaskID:nav_task_0] Navigation in progress...
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:43 - navigation_interface - INFO - Navigation status updated: 1
